record_id,record_revision,record_date,record_title,record_amount_pence,record_status,line_id,line_position,line_name,line_quantity,line_allocation_pence,line_detail,copy_count,copy_allocation_pence_sum
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-77b8ce4a-ab19-4500-be9a-4a7d3054a869,71,Feral Imp,1,20,YGLD-ENA11 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-71b36507-d93b-4dcf-aceb-03ae1445b27f,72,Beaver Warrior,1,19,YGLD-ENA12 · 1st Edition · from Bulk lot · 130 card types,1,19
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-1db112ca-4db7-4af5-961f-9b364d5c38ba,73,Griffore,1,19,YGLD-ENA13 · 1st Edition · from Bulk lot · 130 card types,1,19
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-744f6c23-caa0-4756-a6e2-ddbec4d873c2,74,Giant Soldier of Stone,1,19,YGLD-ENA15 · 1st Edition · from Bulk lot · 130 card types,1,19
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-fcfd198a-5b0b-44dc-9907-b692ef1b9577,75,Dust Tornado,1,19,YSDJ-EN033 · 1st Edition · from Bulk lot · 130 card types,1,19
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-b454cf6d-e84c-4ac2-b3b5-f5d08a3ff63f,76,Elemental HERO Sparkman,1,19,YSDJ-EN008 · 1st Edition · from Bulk lot · 130 card types,1,19
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-59fdda92-48e8-4f3f-bfb2-3c47d6aa5072,77,Elemental HERO Burstinatrix,1,19,YSDJ-EN006 · 1st Edition · from Bulk lot · 130 card types,1,19
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-e6e51390-deff-41aa-a63a-28f899f5572b,78,Elemental HERO Wildheart,1,19,YSDJ-EN019 · 1st Edition · from Bulk lot · 130 card types,1,19
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-bb1baf3d-a294-460d-83f1-faae78244825,79,Elemental HERO Avian,1,19,YSDJ-EN005 · 1st Edition · from Bulk lot · 130 card types,1,19
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-e9830b48-5670-4b26-9cd8-25265fca8c47,80,Elemental HERO Clayman,1,19,YSDJ-EN007 · 1st Edition · from Bulk lot · 130 card types,1,19
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-2c8098b5-9c9f-44f2-9451-0064e2d333f3,81,Hero Barrier,1,19,DP03-EN027 · 1st Edition · from Bulk lot · 130 card types,1,19
